job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,posted_date,skills,industry,job_level,source
tcv_2068,Kinh doanh phần mềm,Sales,CÔNG TY TNHH TRUYỀN THÔNG ADTIMIN,30000000.0,30000000.0,0.0,Hồ Chí Minh,20/09/2025,[],"['Chuyên môn Kinh doanh phần mềm', 'Online Sales', 'B2B', 'Nghỉ thứ 7']",Intern,TopCV
tcv_2069,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY CỔ PHẦN PHÁT TRIỂN TÀI SẢN SAO VÀNG HOLDINGS,30000000.0,22000000.0,0.0,Hà Nội,24/09/2025,"['Quản Lý Dự Án', 'Kỹ Năng Lãnh Đạo Và Quản Lý Nhóm', 'Giao Tiếp Và Thuyết Trình Hiệu Quả', 'Thiết Kế Đồ Họa (photoshop, Illustrator, Indesign)', 'Kiến Thức Về Thiết Kế Website Và Ux Ui']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Bất động sản', 'Thiết kế / Kiến trúc', 'Mỹ thuật / Nghệ thuật / Điện ảnh']",Junior,TopCV
tcv_2070,Software Engineer,Developer,CÔNG TY TNHH MTV SEN VÀNG VIỆT NAM,0.0,0.0,1.0,Hồ Chí Minh,12/09/2025,"['Kiến Trúc Phần Mềm', 'Cơ Sở Dữ Liệu (sql, Nosql)', 'Kiểm Thử Phần Mềm (unit Testing, Integration Testing)', 'Ngôn Ngữ Lập Trình (java, Python, Node.js, Php, Ruby, Go, V.v.)', 'Api (rest, Graphql)', 'Microservices', 'Thiết Kế Cơ Sở Dữ Liệu']","['Chuyên môn Software Engineer', 'IT - Phần mềm', 'Tuổi 22 - 35']",Junior,TopCV
tcv_2071,Backend Developer,Developer,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),0.0,0.0,1.0,Hà Nội,17/09/2025,"['Java', 'Spring Framework (spring Boot, Spring Mvc, Spring Data)', 'RESTful API', 'Sql (mysql, Postgresql, Oracle)', 'Git']",['Chuyên môn Backend Developer'],Junior,TopCV
tcv_2072,Phân tích dữ liệu,Other,SVTECH,35000000.0,20000000.0,0.0,Hà Nội,15/10/2025,"['SQL', 'Business Analyst', 'Truy Vấn Dữ Liệu', 'Trực Quan Hóa Dữ Liệu (tableau, Power Bi)']","['Chuyên môn Phân tích dữ liệu', 'Ngân hàng', 'Tài chính', 'IT - Phần cứng và máy tính', 'Nghỉ thứ 7', 'Tiếng Anh TOEIC 650']",Junior,TopCV
tcv_2073,Mobile Developer,Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,35000000.0,15000000.0,0.0,Hà Nội,15/09/2025,"['Flutter', 'Material Design', 'API RESTful']","['Chuyên môn Mobile Developer', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2074,Automation Tester,Tester,"TECHVIFY SOFTWARE., JSC",0.0,0.0,1.0,Hà Nội,23/09/2025,"['Kiến Thức Về Kiểm Thử Tự Động', 'Kinh Nghiệm Quản Lý Nhóm', 'Lập Kế Hoạch Kiểm Thử', 'Thiết Kế Test Case', 'phân tích yêu cầu']","['Chuyên môn Automation Tester', 'An ninh mạng', 'IT - Phần mềm', 'IT - Phần cứng và máy tính', 'Nghỉ thứ 7']",Mid,TopCV
tcv_2075,DevOps Engineer,Developer,Công Ty TNHH Bảo Hiểm Tasco,0.0,0.0,1.0,Hà Nội,13/09/2025,"['Git', 'Docker', 'Kubernetes', 'CI/CD', 'Linux/Unix']","['Chuyên môn DevOps Engineer', 'Bảo hiểm', 'Tài chính', 'Ngân hàng', 'Tuổi 24 - 30']",Junior,TopCV
tcv_2076,IT Project Manager,Infrastructure,CÔNG TY CỔ PHẦN ZTO LABS,17000000.0,10000000.0,0.0,Hà Nội,20/09/2025,"['Kỹ năng giao tiếp', 'Làm việc nhóm', 'Phân tích dữ liệu', 'Quản Lý Dự Án', 'Thu Thập Và Làm Sạch Dữ Liệu']","['Chuyên môn IT Project Manager', 'IT - Phần mềm', 'Nghỉ thứ 7']",Manager,TopCV
tcv_2077,Frontend Developer,Developer,Công ty Cổ phần Kaopiz Software,0.0,0.0,1.0,Hà Nội,20/09/2025,"['CSS', 'Git', 'HTML', 'Javascript', 'Vue.js (bao Gồm Vue Router Và Vuex)']","['Chuyên môn Frontend Developer', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2078,DevOps Engineer,Developer,Công ty Cổ phần JVB Việt Nam,25000000.0,25000000.0,0.0,Hà Nội,30/11/2025,"['Linux System Administration', 'Cloud Computing (aws, Azure, Gcp)', 'Containerization (docker, Kubernetes)', 'Ci Cd Pipelines (jenkins, Gitlab Ci, Circleci)', 'Infrastructure As Code (terraform, Ansible, Cloudformation)']","['Chuyên môn DevOps Engineer', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2079,Embedded Engineer/Lập trình nhúng,Developer,Công ty Cổ Phần Bản Viên,0.0,0.0,1.0,Hồ Chí Minh,31/08/2025,"['C++', 'OOP', 'Python', 'Eclipse', 'Java Core', 'Embedded', 'English']",['Chuyên môn Embedded Engineer/Lập trình nhúng'],Junior,TopCV
tcv_2080,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY CỔ PHẦN TƯ VẤN ĐÁNH GIÁ VÀ PHÁT TRIỂN GIÁO DỤC EDUTALK,12000000.0,10000000.0,0.0,Hà Nội,13/09/2025,"['Illustrator', 'Photoshop', 'InDesign', 'Thiết Kế']",['Chuyên môn Thiết kế đồ họa (Graphic Design)'],Junior,TopCV
