job_id,title,job_domain,company_name,company_url,city,work_mode,employment_type,salary_min,salary_max,is_negotiable,benefits,skills_raw,skills_standardized,experience_min_years,experience_max_years,experience_level,posted_date,deadline_date,source,industry
62,google ads performance marketing global e commerce,Other,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP PHẦN MỀM CROSSIAN VIỆT NAM,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-va-giai-phap-phan-mem-crossian-viet-nam.35A9D7BD.html,Hà Nội,,Full-time,182000000,182000000,0,[],['go'],['go'],3,3,Middle,21/08/2025,21/09/2025,CareViet,['Sales/Marketing']
63,hỗ trợ kỹ thuật,Other,Vietmap - Công ty Cổ phần Ứng Dụng Bản Đồ Việt,https://careerviet.vn/vi/nha-tuyen-dung/vietmap-cong-ty-co-phan-ung-dung-ban-do-viet.35A5D273.html,Hà Nội,On-site,Full-time,10000000,12000000,0,['Đào tạo'],[],[],1,2,Junior,21/08/2025,20/09/2025,CareViet,['Other']
64,business analyst,BA/PM/PO,KDI EDUCATION,https://careerviet.vn/vi/nha-tuyen-dung/kdi-education.35A89D70.html,Hồ Chí Minh,On-site,Full-time,16000000,18000000,0,['Đào tạo'],['go'],['go'],1,2,Junior,21/08/2025,30/09/2025,CareViet,['Consulting']
65,project manager,BA/PM/PO,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thoi-trang-va-my-pham-au-chau.35A7E3EE.html,Hồ Chí Minh,,Full-time,0,0,1,[],['go'],['go'],3,7,Middle,21/08/2025,20/09/2025,CareViet,['Other']
66,data analyst,Other,CÔNG TY CỔ PHẦN KINH DOANH F88,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-kinh-doanh-f88.35A89F54.html,Hà Nội,,Full-time,20000000,55000000,0,[],"['python', 'sql']","['python', 'sql']",2,2,Middle,21/08/2025,30/09/2025,CareViet,['Consulting']
67,data analyst,Other,Công Ty Tài Chính Mirae Asset (Việt Nam),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tai-chinh-mirae-asset-viet-nam.35A6FD8E.html,Hồ Chí Minh,,Full-time,0,0,1,[],"['sql', 'go']","['sql', 'go']",2,5,Middle,21/08/2025,30/09/2025,CareViet,['Consulting']
68,qa engineer,QA/Testing,Ahamove,https://careerviet.vn/vi/nha-tuyen-dung/ahamove.35A85070.html,Hồ Chí Minh,,Full-time,0,0,1,[],"['python', 'java', 'javascript', 'sql', 'go']","['python', 'java', 'javascript', 'sql', 'go']",3,7,Middle,21/08/2025,20/09/2025,CareViet,['IT/Software']
69,coder,Other,CÔNG TY CỔ PHẦN WASH 24H,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-wash-24h.35A9C10E.html,Hồ Chí Minh,,Full-time,12000000,15000000,0,['Đào tạo'],[],[],2,5,Middle,21/08/2025,30/09/2025,CareViet,['Other']
70,.net developer,Other,MOTIVES VIETNAM CORPORATION,https://careerviet.vn/vi/nha-tuyen-dung/motives-vietnam-corporation.35A7A094.html,Hồ Chí Minh,,Other,0,0,1,[],"['python', 'c#', 'sql', 'html', 'css', 'go', 'react']","['python', 'c#', 'sql', 'html', 'css', 'go', 'react']",1,5,Junior,21/08/2025,30/09/2025,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
72,business analyst,BA/PM/PO,Công ty Cổ phần đầu tư phát triển máy Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-dau-tu-phat-trien-may-viet-nam.35A999B0.html,Hà Nội,,Full-time,12000000,20000000,0,['Đào tạo'],[],[],1,1,Junior,21/08/2025,30/10/2025,CareViet,['Consulting']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
74,data engineer,Data,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-thuong-mai-co-phan-hang-hai-viet-nam-msb.35A863DC.html,Hà Nội,,Full-time,25000000,30000000,0,[],[],[],3,4,Middle,16/08/2025,14/09/2025,CareViet,['IT/Software']
