job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,deadline,skills,industry,experience_min,experience_max,job_level,source
TCV1122,Thiết kế đồ họa (Graphic Design),design,CÔNG TY CỔ PHẦN TẬP ĐOÀN VISIMEX,25000000,15000000,0,Hà Nội,20/09/2025,"['Dựng phim', 'Thiết kế đồ họa', 'Quay Phim', 'Sử Dụng Phần Mềm Dựng Phim (adobe Premiere, Final Cut Pro)', 'Sử Dụng Phần Mềm Thiết Kế (photoshop, Illustrator, After Effects)', 'Kỹ Năng Sử Dụng Các Thiết Bị Quay Phim Chuyên Nghiệp', 'Kỹ Năng Chụp Ảnh']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Thiết kế / Kiến trúc', 'Marketing / Quảng cáo', 'Nghỉ thứ 7']",2,2.0,Junior,TopCV
TCV1123,Thiết kế đồ họa (Graphic Design),design,Công ty TNHH TM Hữu Nghị,15000000,10000000,0,Hà Nội,10/09/2025,,['Chuyên môn Thiết kế đồ họa (Graphic Design)'],1,1.0,Junior,TopCV
TCV1124,IT Comtor,business,Công ty TNHH Lisod Việt Nam,35000000,35000000,0,Hà Nội,30/09/2025,"['Làm việc nhóm', 'Quản lý thời gian', 'Tiếng Nhật N2', 'Tiếng Nhật N1', 'Kỹ năng giải quyết vấn đề', 'kỹ năng giao tiếp tốt', 'Hiểu Biết Về Các Quy Trình It']","['Chuyên môn IT Comtor', 'Nghỉ thứ 7', 'Tiếng Nhật Giao tiếp thành thạo', 'Tiếng Nhật JLPT N2']",2,2.0,Junior,TopCV
TCV1125,Software Tester (Automation & Manual),developer,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ ECOTEK,24000000,18000000,0,Hưng Yên,20/09/2025,"['Kiến Thức Về Kiểm Thử Phần Mềm', 'Kỹ Năng Phân Tích Yêu Cầu', 'Kỹ Năng Viết Test Case', 'Kỹ Năng Thực Hiện Test', 'Kỹ Năng Báo Cáo Lỗi', 'Giao tiếp', 'Kỹ Năng Phân Tích Rủi Ro', 'Kiến Thức Về Các Loại Kiểm Thử (ví Dụ: Kiểm Thử Hiệu Năng, Kiểm Thử Bảo Mật)']","['Chuyên môn Software Tester (Automation & Manual)', 'IT - Phần mềm', 'Nghỉ thứ 7', 'Tuổi 24 - 34']",1,1.0,Junior,TopCV
TCV1126,Công nghệ thông tin khác,other,Công Ty TNHH Thương Mại Và Dịch Vụ Nina,4000000,4000000,0,Hồ Chí Minh,20/09/2025,,"['Chuyên môn Công nghệ thông tin khác', 'IT - Phần mềm', 'Marketing / Quảng cáo']",0,0.0,Intern,TopCV
TCV1127,Thiết kế đồ họa (Graphic Design),design,CTY TNHH EAST TÂN PHÁT,18000000,12000000,0,Hồ Chí Minh,30/08/2025,"['Sáng tạo', 'Thiết Kế Đồ Họa 2d', 'Kỹ Năng Vẽ', 'Tư Duy Thẩm Mỹ', 'Sử Dụng Thành Thạo Phần Mềm Thiết Kế (adobe Photoshop, Adobe Illustrator,...)']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Marketing / Quảng cáo', 'Quan hệ công chúng', 'Mỹ thuật / Nghệ thuật / Điện ảnh']",2,2.0,Junior,TopCV
TCV1128,Technical Leader,infra,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,0,0,1,Hồ Chí Minh,30/09/2025,"['Làm việc nhóm', 'Lập Trình', 'Quản Lý Dự Án', 'Kiểm thử phần mềm', 'Kiến Trúc Phần Mềm']","['Chuyên môn Technical Leader', 'IT - Phần cứng và máy tính', 'IT - Phần mềm', 'Công nghệ kỹ thuật']",3,3.0,Lead,TopCV
TCV1129,Kinh doanh phần mềm,sales,CÔNG TY CỔ PHẦN CHUỖI BÁN LẺ MINIMIN,3000000,1000000,0,Hồ Chí Minh,13/09/2025,"['Nghiên cứu', 'Giao tiếp', 'Soạn Thảo Văn Bản', 'Quản Lý Dự Án', 'Phân tích']","['Chuyên môn Kinh doanh phần mềm', 'B2B']",0,0.0,Intern,TopCV
TCV1130,Data Labeling (Gán nhãn dữ liệu),data,Công ty Cổ phần Công Nghệ Giáo Dục Eland,10000000,8000000,0,Hà Nội,30/09/2025,"['Giao tiếp', 'Quản lý thời gian', 'Tổ chức công việc', 'Lập Kế Hoạch', 'Theo dõi tiến độ', 'Kỹ Năng Quản Lý Tài Liệu', 'Kiến Thức Về Lĩnh Vực Giáo Dục Và Học Tiếng Anh', 'Kỹ Năng Tin Học Văn Phòng (word, Excel, Powerpoint)']",['Chuyên môn Data Labeling (Gán nhãn dữ liệu)'],0,0.0,Intern,TopCV
TCV1131,Data Engineer,developer,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),0,0,1,Hà Nội,04/09/2025,"['Big Data', 'data engineer', 'Pyspark', 'SQL', 'ETL', 'Data Warehousing', 'Data Modeling', 'Python']","['Chuyên môn Data Engineer', 'IT - Phần mềm', 'Tuổi 22 - 30']",1,1.0,Junior,TopCV
TCV1132,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH TRUYỀN THÔNG PHÚ CƯỜNG SOLUTION,3000000,2000000,0,Hồ Chí Minh,12/09/2025,"['Adobe Photoshop', 'Adobe Illustrator', 'Tư duy sáng tạo', 'Kỹ Năng Thiết Kế', 'Typography']",['Chuyên môn Thiết kế đồ họa (Graphic Design)'],0,0.0,Intern,TopCV
