Gia_tri,So_luong
"['direct sales', 'telesales', 'bán hàng tại cửa hàng/showroom', 'b2b', 'b2c', 'b2g', 'it - phần mềm', 'tài chính', 'ngân hàng', 'tuổi 28 - 45']",2
"['y tế / dược phẩm', 'chăm sóc sức khỏe / làm đẹp', 'marketing / quảng cáo']",2
"['thương mại điện tử', 'từ 18 tuổi trở lên']",2
"['it - phần mềm', 'tiếng anh giao tiếp thành thạo', 'tuổi 35 - 50']",2
"['thiết kế / kiến trúc', 'marketing / quảng cáo', 'tuổi 18 - 25']",2
"['it - phần mềm', 'nhà hàng / khách sạn']",2
"['direct sales', 'b2b', 'it - phần mềm', 'chính phủ/dịch vụ công', 'điện / điện tử / điện lạnh']",2
"['telesales', 'direct sales', 'b2b', 'it - phần mềm', 'có hỗ trợ data']",2
"['direct sales', 'b2b', 'it - phần mềm', 'có hỗ trợ data', 'tiếng nhật jlpt n2']",2
"['it - phần mềm', 'thương mại điện tử', 'từ 20 tuổi trở lên']",2
"['it - phần mềm', 'marketing / quảng cáo', 'thiết kế / kiến trúc', 'tuổi 22 - 28']",2
"['it - phần mềm', 'tuổi 22 - 30']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'logistic / vận tải', 'tiếng anh toeic 500', 'tuổi 22 - 35']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'công nghệ kỹ thuật']",2
"['telesales', 'b2b', 'b2c', 'b2g', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'tuổi 18 - 26']",2
"['sản xuất ', 'cơ khí / tự động hóa', 'công nghệ kỹ thuật', 'tuổi 25 - 40']",2
"['y tế / dược phẩm', 'chăm sóc sức khỏe / làm đẹp', 'tuổi 22 - 30']",2
"['it - phần mềm', 'viễn thông']",2
"['it - phần mềm', 'kho vận', 'logistic / vận tải']",2
"['b2b', 'it - phần mềm', 'tiếng anh giao tiếp thành thạo']",2
"['thương mại điện tử', 'in ấn / xuất bản', 'mỹ thuật / nghệ thuật / điện ảnh', 'tuổi 20 - 28']",2
"['it - phần mềm', 'bán lẻ - hàng tiêu dùng - fmcg']",2
"['it - phần cứng và máy tính', 'xây dựng', 'an ninh mạng']",2
"['bán lẻ - hàng tiêu dùng - fmcg', 'may mặc / thời trang']",2
['tuổi 20 - 30'],2
"['marketing / quảng cáo', 'mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc', 'tuổi 21 - 30']",2
['từ 30 tuổi trở xuống'],2
['chứng khoán'],2
"['direct sales', 'b2b', 'it - phần mềm', 'có hỗ trợ data']",2
['nhân sự'],2
"['telesales', 'direct sales', 'b2b']",2
['tuổi 22 - 30'],2
"['giờ hành chính', 'tuổi 18 - 39']",2
"['thực phẩm / đồ uống', 'marketing / quảng cáo', 'thiết kế / kiến trúc']",2
"['direct sales', 'online sales', 'bán hàng tại cửa hàng/showroom', 'telesales', 'b2b', 'b2c', 'b2g']",2
"['it - phần mềm', 'tuổi 24 - 34']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'điện / điện tử / điện lạnh']",2
"['sản xuất ', 'công nghệ kỹ thuật', 'điện / điện tử / điện lạnh']",2
"['it - phần mềm', 'tiếng anh toeic 700', 'tiếng nhật jlpt n4']",2
['may mặc / thời trang'],2
"['direct sales', 'b2b', 'b2c', 'b2g', 'có hỗ trợ data']",2
"['cơ khí / tự động hóa', 'từ 22 tuổi trở lên']",2
"['online sales', 'direct sales', 'b2b', 'b2c', 'it - phần mềm', 'tuổi 20 - 29']",2
"['direct sales', 'b2b', 'it - phần mềm', 'tài chính', 'ngân hàng', 'tiếng anh giao tiếp thành thạo']",2
"['it - phần mềm', 'viễn thông', 'thương mại điện tử', 'từ 18 tuổi trở lên']",2
"['ngân hàng', 'tài chính', 'it - phần mềm']",1
"['sản xuất ', 'tuổi 18 - 25']",1
"['it - phần mềm', 'tài chính', 'it - phần cứng và máy tính']",1
['tuổi 20 - 22'],1
"['it - phần mềm', 'thiết kế / kiến trúc', 'tuổi 22 - 28']",1
"['it - phần mềm', 'tiếng anh giao tiếp thành thạo', 'tiếng anh giao tiếp cơ bản']",1
"['telesales', 'direct sales', 'b2c', 'diễn đạt trôi chảy']",1
"['thực phẩm / đồ uống', 'nhà hàng / khách sạn']",1
"['direct sales', 'b2b', 'an ninh mạng', 'điện toán đám mây (cloud)', 'viễn thông']",1
"['direct sales', 'telesales', 'b2b', 'tài chính', 'sản xuất ', 'ngân hàng', 'diễn đạt trôi chảy']",1
"['marketing / quảng cáo', 'tiếng anh toeic 500']",1
"['telesales', 'b2b', 'b2c', 'marketing / quảng cáo']",1
"['it - phần mềm', 'giáo dục / đào tạo', 'tuổi 23 - 28']",1
"['thiết kế / kiến trúc', 'marketing / quảng cáo', 'tuổi 25 - 35']",1
"['an ninh mạng', 'marketing / quảng cáo', 'it - phần mềm', 'tuổi 23 - 28']",1
"['it - phần cứng và máy tính', 'tuổi 20 - 30']",1
"['điện / điện tử / điện lạnh', 'tuổi 25 - 40']",1
"['telesales', 'b2b', 'có hỗ trợ data', 'phát âm chuẩn']",1
"['online sales', 'b2b', 'it - phần mềm', 'có hỗ trợ data']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'marketing / quảng cáo', 'thiết kế / kiến trúc', 'tiếng anh toeic 500', 'tiếng anh đọc hiểu', 'tuổi 18 - 27']",1
